date,symbol,open,high,low,close,volume
2025-12-17,MSFT,476.9050,480.0000,475.0000,476.1200,24527176
2025-12-17,NVDA,176.1000,176.1300,170.3100,170.9400,222775464
2025-12-17,XOM,115.2100,117.6200,115.1700,117.4100,18502152
2025-12-18,AAPL,273.6050,273.6300,266.9500,272.1900,51630721
2025-12-18,MSFT,478.1900,489.6000,477.8900,483.9800,28573545
2025-12-18,NVDA,174.5300,176.1500,171.8200,174.1400,176096001
2025-12-18,XOM,116.9900,116.9900,115.6300,116.5400,13705560
2025-12-19,AAPL,272.1450,274.6000,269.9000,273.6700,144632048
2025-12-19,MSFT,487.3600,487.8500,482.4900,485.9200,70836105
2025-12-19,NVDA,176.6650,181.4500,176.3400,180.9900,324925927
2025-12-19,XOM,116.7500,117.5700,115.9550,116.6900,45412814
2025-12-22,AAPL,272.8600,273.8800,270.5050,270.9700,36571827
2025-12-22,MSFT,486.1200,488.7300,482.6900,484.9200,16963019
2025-12-22,NVDA,183.9200,184.1600,182.3500,183.6900,129064369
2025-12-22,XOM,117.3350,118.4600,117.3350,118.1500,11768611
2025-12-23,AAPL,270.8400,272.5000,269.5600,272.3600,29641999
2025-12-23,MSFT,484.9800,487.8300,484.7400,486.8500,14683582
2025-12-23,NVDA,182.9700,189.3300,182.9000,189.2100,174873621
2025-12-23,XOM,118.4700,120.0300,118.3200,119.4200,12567630
2025-12-24,AAPL,272.3400,275.4300,272.1950,273.8100,17910574
2025-12-24,MSFT,485.6800,489.1625,484.8300,488.0200,5855880
2025-12-24,NVDA,187.9400,188.9100,186.5900,188.6100,65528545
2025-12-24,XOM,119.3300,120.0500,119.1177,119.2200,6137406
2025-12-26,AAPL,274.1600,275.3700,272.8600,273.4000,21521802
2025-12-26,MSFT,486.7050,488.1200,485.9600,487.7100,8842175
2025-12-26,NVDA,189.9200,192.6900,188.0000,190.5300,139740292
2025-12-26,XOM,118.8850,119.5500,118.5300,119.1100,8066129
2025-12-29,AAPL,272.6900,274.3600,272.3500,273.7600,23715213
2025-12-29,MSFT,484.8550,488.3500,484.1800,487.1000,10893408
2025-12-29,NVDA,187.7100,188.7550,185.9100,188.2200,120006103
2025-12-29,XOM,120.1500,121.2998,119.4000,120.5300,14782512
2025-12-30,AAPL,272.8100,274.0800,272.2800,273.0800,22139617
2025-12-30,MSFT,485.9300,489.6800,485.5000,487.4800,13944512
2025-12-30,NVDA,188.2400,188.9900,186.9300,187.5400,97687274
2025-12-30,XOM,121.1000,121.7960,120.6300,120.9900,11150486
2025-12-31,AAPL,273.0600,273.6800,271.7500,271.8600,27293639
2025-12-31,MSFT,487.8400,488.1400,483.3000,483.6200,15601554
2025-12-31,NVDA,189.5700,190.5600,186.4900,186.5000,120100484
2025-12-31,XOM,121.1800,121.2600,119.8650,120.3400,10559866
2026-01-02,AAPL,272.2550,277.8400,269.0000,271.0100,37838054
2026-01-02,MSFT,484.3850,484.6600,470.1600,472.9400,25571567
2026-01-02,NVDA,189.8350,192.9299,188.2600,188.8500,148240462
2026-01-02,XOM,120.0900,122.6800,119.6067,122.6500,14175055
2026-01-05,AAPL,270.6400,271.5100,266.1400,267.2600,45647190
2026-01-05,MSFT,474.0550,476.0700,469.5000,472.8500,25250260
2026-01-05,NVDA,191.7600,193.6300,186.1500,188.1200,183529733
2026-01-05,XOM,125.2100,125.9300,122.3900,125.3600,30112238
2026-01-06,AAPL,267.0000,267.5500,262.1200,262.3600,52352090
2026-01-06,MSFT,473.8000,478.7367,469.7500,478.5100,23037665
2026-01-06,NVDA,190.5200,192.1740,186.8200,187.2400,176862604
2026-01-06,XOM,125.3500,125.8000,121.0000,121.0500,23328636
2026-01-07,AAPL,263.2000,263.6800,259.8100,260.3300,48309804
2026-01-07,MSFT,479.7550,489.7000,477.9500,483.4700,25564196
2026-01-07,NVDA,188.5700,191.3700,186.5600,189.1100,153543174
2026-01-07,XOM,119.8000,120.1200,118.2740,118.4900,20352950
2026-01-08,AAPL,257.0200,259.2900,255.7000,259.0400,50419337
2026-01-08,MSFT,481.2400,482.6600,475.8600,478.1100,18162616
2026-01-08,NVDA,189.1100,189.5500,183.7100,185.0400,172457048
2026-01-08,XOM,118.9800,123.6250,118.6550,122.9100,20232721
2026-01-09,AAPL,259.0750,260.2100,256.2200,259.3700,39996967
2026-01-09,MSFT,474.0600,479.8200,472.2001,479.2800,18491036
2026-01-09,NVDA,185.0800,186.3400,183.6701,184.8600,131327534
2026-01-09,XOM,123.2300,124.8600,123.0950,124.6100,16137674
2026-01-12,AAPL,259.1600,261.3000,256.8000,260.2500,45263767
2026-01-12,MSFT,476.6700,480.9900,475.6803,477.1800,23519895
2026-01-12,NVDA,183.2200,187.1200,183.0200,184.9400,137968453
2026-01-12,XOM,124.4600,124.5000,122.5600,124.0300,15314895
2026-01-13,AAPL,258.7200,261.8100,258.3900,261.0500,45730847
2026-01-13,MSFT,474.6750,475.7799,465.9500,470.6700,28545800
2026-01-13,NVDA,184.9950,188.1099,183.4000,185.8100,160128939
2026-01-13,XOM,125.0000,127.1400,124.8100,126.5400,21619727
2026-01-14,AAPL,259.4900,261.8200,256.7100,259.9600,40019421
2026-01-14,MSFT,466.4600,468.2000,457.1700,459.3800,28184302
2026-01-14,NVDA,184.3200,184.4600,180.8000,183.1400,159586135
2026-01-14,XOM,127.3500,131.7200,127.1300,130.2000,27593938
2026-01-15,AAPL,260.6500,261.0400,257.0500,258.2100,39388564
2026-01-15,MSFT,464.1200,464.2500,455.9000,456.6600,23225839
2026-01-15,NVDA,186.5000,189.7000,186.3300,187.0500,206188642
2026-01-15,XOM,129.1300,130.1950,128.3000,129.1300,17400039
2026-01-16,AAPL,257.9000,258.9000,254.9300,255.5300,72142773
2026-01-16,MSFT,457.8300,463.1900,456.4800,459.8600,34246650
2026-01-16,NVDA,189.0750,190.4400,186.0800,186.2300,187967169
2026-01-16,XOM,128.9100,130.1600,128.8700,129.8900,16592354
2026-01-20,AAPL,252.7300,254.7900,243.4200,246.7000,77280987
2026-01-20,MSFT,451.2150,456.8000,449.2800,454.5200,25973898
2026-01-20,NVDA,181.9000,182.3786,177.6100,178.0700,218355781
2026-01-20,XOM,131.5100,131.9400,130.0700,130.4600,16173207
2026-01-21,AAPL,248.7000,251.5600,245.1800,247.6500,54641725
2026-01-21,MSFT,452.5950,452.6900,438.6800,444.1100,37980510
2026-01-21,NVDA,179.0500,185.3790,178.4000,183.3200,200380959
2026-01-21,XOM,131.9100,133.7250,131.9100,133.6100,18879887
2026-01-22,AAPL,249.2000,251.0000,248.1500,248.3500,39708340
2026-01-22,MSFT,447.6200,452.8400,444.7000,451.1400,25349378
2026-01-22,NVDA,184.7500,186.1700,183.9300,184.8400,139636626
2026-01-22,XOM,133.0500,134.1800,131.8500,133.6400,16600126
2026-01-23,AAPL,247.3200,249.4100,244.6800,248.0400,41688982
2026-01-23,MSFT,451.8700,471.1000,450.5300,465.9500,38000159
2026-01-23,NVDA,187.5000,189.6000,186.8233,187.6700,142748076
2026-01-23,XOM,135.0850,135.9800,134.4800,134.9700,17758214
2026-01-26,AAPL,251.4800,256.5600,249.8000,255.4100,55969234
2026-01-26,MSFT,465.3050,474.2500,462.0000,470.2800,29291235
2026-01-26,NVDA,187.1600,189.1200,185.9900,186.4700,124799649
2026-01-26,XOM,136.9300,136.9398,134.1700,134.8400,16056066
2026-01-27,AAPL,259.1700,261.9500,258.2100,258.2700,48787855
2026-01-27,MSFT,473.7000,482.8700,473.1600,480.5800,29088664
2026-01-27,NVDA,187.2400,190.0000,185.7000,188.5200,138432307
2026-01-27,XOM,135.2450,136.9300,134.7100,136.8300,14484283
2026-01-28,AAPL,257.6500,258.8550,254.5100,256.4400,41287971
2026-01-28,MSFT,483.2100,483.7400,478.0000,481.6300,36875403
2026-01-28,NVDA,191.2700,192.3500,189.8400,191.5200,148552677
2026-01-28,XOM,137.6900,138.0100,136.6700,137.5800,15637279
2026-01-29,AAPL,258.0000,259.6500,254.4100,258.2800,67253009
2026-01-29,MSFT,439.9900,442.5000,421.0200,433.5000,128855323
2026-01-29,NVDA,191.3400,193.4800,186.0600,192.5100,171764375
2026-01-29,XOM,140.3200,142.3400,139.1100,140.5100,35760620
2026-01-30,AAPL,255.1650,261.8999,252.1800,259.4800,92443408
2026-01-30,MSFT,439.1700,439.6000,426.4500,430.2900,58566819
2026-01-30,NVDA,191.2100,194.4900,189.4700,191.1300,179489463
2026-01-30,XOM,138.7400,142.2050,137.8300,141.4000,29657667
2026-02-02,AAPL,260.0300,270.4900,259.2050,270.0100,73913425
2026-02-02,MSFT,430.2350,430.7360,422.2500,423.3700,42219858
2026-02-02,NVDA,187.2000,190.3000,184.8800,185.6100,165794054
2026-02-02,XOM,139.8300,140.3200,138.0600,138.4000,27735570
2026-02-03,AAPL,269.2000,271.8750,267.6100,269.4800,63799388
2026-02-03,MSFT,422.0100,422.0500,408.5600,411.2100,60076532
2026-02-03,NVDA,186.2400,186.2700,176.2300,180.3400,202006430
2026-02-03,XOM,138.6400,145.0100,138.3100,143.7300,37442320
2026-02-04,AAPL,272.2850,278.9500,272.2850,276.4900,90545710
2026-02-04,MSFT,411.0000,419.8000,409.2400,414.1900,45012374
2026-02-04,NVDA,179.4600,179.5800,171.9100,174.1900,207014116
2026-02-04,XOM,144.1150,147.8400,144.1150,147.5900,29426241
2026-02-05,AAPL,278.1300,279.5000,273.2300,275.9100,52977441
2026-02-05,MSFT,407.4400,408.3000,392.3200,393.6700,66289247
2026-02-05,NVDA,174.9250,176.8150,171.0300,171.8800,206312890
2026-02-05,XOM,146.5800,146.7300,143.7950,146.0800,18431739
2026-02-06,AAPL,277.1200,280.9050,276.9250,278.1200,50453414
2026-02-06,MSFT,399.1650,401.7900,392.9200,401.1400,53515311
2026-02-06,NVDA,176.6900,187.0000,174.6000,185.4100,231346241
2026-02-06,XOM,146.6200,149.5700,146.0900,149.0500,17216025
2026-02-09,AAPL,277.9050,278.2000,271.7000,274.6200,44623396
2026-02-09,MSFT,404.8500,414.8900,400.8700,413.6000,45480526
2026-02-09,NVDA,184.2600,193.6600,183.9500,190.0400,196387351
2026-02-09,XOM,149.2600,151.5500,148.6300,151.2100,21297302
2026-02-10,AAPL,274.8850,275.3700,272.9400,273.6800,34376898
2026-02-10,MSFT,419.6200,423.6800,412.7000,413.2700,44857850
2026-02-10,NVDA,191.3800,192.4800,188.1200,188.5400,136764825
2026-02-10,XOM,151.3500,151.7800,149.8200,151.5900,15800255
2026-02-11,AAPL,274.6950,280.1800,274.4500,275.5000,51931283
2026-02-11,MSFT,416.1750,416.4600,401.0100,404.3700,42491012
2026-02-11,NVDA,192.4500,193.2600,188.7700,190.0500,144192685
2026-02-11,XOM,153.9700,156.9300,153.5700,155.5600,23091488
2026-02-12,AAPL,275.5900,275.7200,260.1800,261.7300,81077229
2026-02-12,MSFT,405.0000,406.2000,398.0100,401.8400,40802362
2026-02-12,NVDA,193.0300,193.6100,186.5100,186.9400,189932491
2026-02-12,XOM,153.8900,155.2500,149.8800,149.9300,30652471
2026-02-13,AAPL,262.0100,262.2300,255.4500,255.7800,56290673
2026-02-13,MSFT,404.4500,405.5400,398.0500,401.3200,34091553
2026-02-13,NVDA,187.4750,187.5000,181.5900,182.8100,161888021
2026-02-13,XOM,150.5500,151.6600,147.9800,148.4500,20166031
2026-02-17,AAPL,258.0500,266.2900,255.5400,263.8800,58469094
2026-02-17,MSFT,399.2200,400.5200,394.5250,396.8600,32078794
2026-02-17,NVDA,181.7500,187.1500,179.1800,184.9700,162276860
2026-02-17,XOM,148.2000,149.1300,145.1500,146.1900,19766567
2026-02-18,AAPL,263.6000,266.8200,262.4500,264.3500,34203337
2026-02-18,MSFT,398.1300,402.5600,396.3200,399.6000,23223417
2026-02-18,NVDA,188.7500,190.3700,186.7600,187.9800,164749125
2026-02-18,XOM,148.1500,150.9800,147.6100,150.6800,19849670
2026-02-19,AAPL,262.6000,264.4800,260.0500,260.5800,30845294
2026-02-19,MSFT,400.6900,404.4300,396.6700,398.4600,28234001
2026-02-19,NVDA,187.0550,188.4300,185.6600,187.9000,126554526
2026-02-19,XOM,152.2000,153.3800,150.8350,150.9700,20305026
2026-02-20,AAPL,258.9700,264.7500,258.1600,264.5800,42070499
2026-02-20,MSFT,396.1100,400.1159,395.1600,397.2300,34015249
2026-02-20,NVDA,186.5700,190.3300,185.9378,189.8200,178422337
2026-02-20,XOM,150.4900,150.8055,146.4600,147.2800,25908581
2026-02-23,AAPL,263.4900,269.4300,263.3810,266.1800,37308155
2026-02-23,MSFT,395.0000,395.3600,383.1000,384.4700,43238273
2026-02-23,NVDA,191.4000,193.9500,189.5750,191.5500,171584839
2026-02-23,XOM,148.1500,151.2700,148.1300,150.7600,16073091
2026-02-24,AAPL,267.8600,274.8900,267.7100,272.1400,47014619
2026-02-24,MSFT,384.1400,389.3600,381.7100,389.0000,33884653
2026-02-24,NVDA,191.4900,193.7700,187.4000,192.8500,175123602
2026-02-24,XOM,150.4200,150.7200,148.0300,149.2600,14185457
2026-02-25,AAPL,271.7800,274.9400,271.0500,274.2300,33714342
2026-02-25,MSFT,390.5250,401.4700,390.1600,400.6000,43625483
2026-02-25,NVDA,194.4500,197.6299,193.7900,195.5600,250637102
2026-02-25,XOM,149.9100,150.1800,147.3300,149.0600,15225745
2026-02-26,AAPL,274.9450,276.1100,270.7950,272.9500,32345114
2026-02-26,MSFT,404.7100,407.4900,398.7400,401.7200,34405869
2026-02-26,NVDA,194.2700,194.2900,184.3150,184.8900,360807907
2026-02-26,XOM,147.8050,150.9600,146.7700,148.5400,15632097
2026-02-27,AAPL,272.8100,272.8100,262.8900,264.1800,72366505
2026-02-27,MSFT,390.8800,396.8200,389.8800,392.7400,51367196
2026-02-27,NVDA,181.2500,182.5900,176.3800,177.1900,311636494
2026-02-27,XOM,151.0000,153.6500,149.2500,152.5000,30275132
2026-03-02,AAPL,262.4100,266.5300,260.2000,264.7200,41827946
2026-03-02,MSFT,392.8550,401.1900,390.6300,398.5500,35474907
2026-03-02,NVDA,175.0100,183.4600,174.6400,182.4800,209095331
2026-03-02,XOM,159.3500,159.6050,153.0300,154.2200,31493082
2026-03-03,AAPL,263.4800,265.5600,260.1300,263.7500,38568921
2026-03-03,MSFT,393.1400,406.7000,392.6700,403.9300,38199209
2026-03-03,NVDA,178.4900,180.9000,176.9200,180.0500,178099430
2026-03-03,XOM,155.4300,156.0490,150.3000,151.8300,25198873
2026-03-04,AAPL,264.6500,266.1500,261.4200,262.5200,39803119
2026-03-04,MSFT,401.2650,411.0326,400.3100,405.2000,35807990
2026-03-04,NVDA,180.4400,184.7000,180.0600,183.0400,177731198
2026-03-04,XOM,150.7200,151.1600,147.8600,149.8200,16764761
2026-03-05,AAPL,260.7900,261.5550,257.2500,260.2900,49658626
2026-03-05,MSFT,404.4200,411.6100,404.4000,410.6800,39001315
2026-03-05,NVDA,181.1700,184.0600,177.8800,183.3400,198779729
2026-03-05,XOM,151.0000,152.3300,149.4700,150.7600,22969271
2026-03-06,AAPL,258.6300,258.7700,254.3700,257.4600,41120042
2026-03-06,MSFT,409.2000,413.0500,408.5101,408.9600,31123859
2026-03-06,NVDA,179.8400,182.7561,176.8201,177.8200,189021949
2026-03-06,XOM,153.1500,153.8000,149.9600,151.2100,21136427
2026-03-09,AAPL,255.6900,261.1500,253.6805,259.8800,38218533
2026-03-09,MSFT,404.9150,410.2100,403.5000,409.4100,30131854
2026-03-09,NVDA,176.8300,182.9100,175.5600,182.6500,177213588
2026-03-09,XOM,152.0150,153.8899,149.4700,150.4400,25532656
2026-03-10,AAPL,257.6450,262.4800,256.9500,260.8300,30590765
2026-03-10,MSFT,410.0300,410.2000,402.9300,405.7600,31706375
2026-03-10,NVDA,182.4000,186.4400,182.0100,184.7700,179118528
2026-03-10,XOM,149.2500,150.4000,147.7000,148.1300,19617590
2026-03-11,AAPL,261.0900,262.1300,259.5500,260.8100,26218927
2026-03-11,MSFT,405.5700,409.0100,401.5900,404.8800,25512139
2026-03-11,NVDA,185.9100,187.6200,184.4500,186.0300,145280386
2026-03-11,XOM,147.9900,151.8100,147.6600,151.5800,15297412
2026-03-12,AAPL,258.6600,258.9500,254.1800,255.7600,40794020
2026-03-12,MSFT,404.6300,406.1200,401.7100,401.8600,27263886
2026-03-12,NVDA,184.0500,184.9400,181.7500,183.1400,155762663
2026-03-12,XOM,152.2650,155.0000,151.6300,153.5300,26053965
2026-03-13,AAPL,255.4800,256.3300,249.5200,250.1200,36929988
2026-03-13,MSFT,401.0000,404.8000,394.2500,395.5500,26848000
2026-03-13,NVDA,184.9200,186.0900,179.9400,180.2500,160988424
2026-03-13,XOM,154.3000,156.8900,152.9750,156.1200,22414094
2026-03-16,AAPL,252.1050,253.8850,249.8800,252.8200,32074209
2026-03-16,MSFT,398.0700,400.6300,394.7900,399.9500,27733721
2026-03-16,NVDA,182.9700,188.8800,181.4100,183.2200,217307380
2026-03-16,XOM,156.0000,157.7800,154.7600,157.2300,22835633
2026-03-17,AAPL,252.9550,255.1300,252.1800,254.2300,32361607
2026-03-17,MSFT,400.2700,404.4000,397.7450,399.4100,26228279
2026-03-17,NVDA,185.0600,185.4000,181.6804,181.9300,182497757
2026-03-17,XOM,158.2500,160.4500,156.8000,158.8100,21592171
2026-03-18,AAPL,252.6250,254.9400,249.0000,249.9400,35757874
2026-03-18,MSFT,397.1250,398.0000,391.0000,391.7900,25908484
2026-03-18,NVDA,182.4800,183.3800,180.3300,180.4000,156683136
2026-03-18,XOM,159.6600,160.1800,157.5300,157.5900,18947142
2026-03-19,AAPL,249.4000,251.8300,247.3000,248.9600,34864082
2026-03-19,MSFT,390.1000,392.4900,387.0600,389.0200,25138772
2026-03-19,NVDA,178.0100,179.9800,175.7850,178.5600,170968527
2026-03-19,XOM,158.2600,159.5600,154.8400,158.1600,27082733
2026-03-20,AAPL,247.9750,249.1999,246.0000,247.9900,88331081
2026-03-20,MSFT,386.7900,387.0000,380.1200,381.8700,50853154
2026-03-20,NVDA,178.0000,178.2600,171.7200,172.7000,241323528
2026-03-20,XOM,159.3500,162.4400,159.1000,159.6700,53942142
2026-03-23,AAPL,253.9700,254.6000,250.2800,251.4900,40546109
2026-03-23,MSFT,383.9000,387.2100,381.6800,383.0000,29680059
2026-03-23,NVDA,177.2550,178.3700,174.7600,175.6400,182836294
2026-03-23,XOM,156.1150,161.4200,155.0200,161.1300,25021288
2026-03-24,AAPL,250.3500,254.8250,249.5500,251.6400,45152288
2026-03-24,MSFT,382.3600,382.4700,371.8500,372.7400,42733625
2026-03-24,NVDA,174.8300,176.2200,173.9800,175.2000,147667844
2026-03-24,XOM,161.7100,167.4800,161.2500,165.3800,26131824
2026-03-25,AAPL,254.0950,255.0000,251.6000,252.6200,28476668
2026-03-25,MSFT,376.9200,377.0600,369.6300,371.0400,31181163
2026-03-25,NVDA,177.1000,181.2200,176.8500,178.6800,162602054
2026-03-25,XOM,163.8700,165.0000,162.9300,163.2600,17192333
2026-03-26,AAPL,252.1150,257.0000,250.7700,252.8900,41796650
2026-03-26,MSFT,370.8150,374.7199,365.1900,365.9700,36836574
2026-03-26,NVDA,176.0700,176.5100,171.1400,171.2400,186152232
2026-03-26,XOM,164.0900,165.6800,162.0600,165.4300,18625249
2026-03-27,AAPL,253.9000,255.4930,248.0700,248.8000,47899998
2026-03-27,MSFT,361.9000,362.4500,356.5100,356.7700,37883400
2026-03-27,NVDA,170.0000,170.9700,167.0100,167.5200,196212684
2026-03-27,XOM,165.5800,171.2300,164.8000,170.9900,30338313
2026-03-30,AAPL,250.0700,250.8700,245.5100,246.6300,39446213
2026-03-30,MSFT,361.8950,365.3600,356.2800,358.9600,44797002
2026-03-30,NVDA,168.7800,169.4500,164.2700,165.1700,185626992
2026-03-30,XOM,172.5050,176.4100,171.0500,171.4700,29813504
2026-03-31,AAPL,247.9100,255.4800,247.1010,253.7900,49598091
2026-03-31,MSFT,364.5500,372.9000,363.0700,370.1700,45244365
2026-03-31,NVDA,166.9700,174.6200,166.9600,174.4000,226181301
2026-03-31,XOM,172.6700,174.3800,165.9700,169.6600,32006724
2026-04-01,AAPL,254.0800,256.1800,253.3300,255.6300,40059432
2026-04-01,MSFT,373.4900,373.9900,368.2000,369.3700,29417206
2026-04-01,NVDA,176.0000,177.3700,174.7500,175.7500,168132005
2026-04-01,XOM,165.7700,168.0000,159.5300,160.7800,37927639
2026-04-02,AAPL,254.2000,256.1300,250.6500,255.9200,31289369
2026-04-02,MSFT,367.2050,373.6400,364.1500,373.4600,24099067
2026-04-02,NVDA,172.1800,177.4900,171.3700,177.3900,143143157
2026-04-02,XOM,164.4900,166.9000,159.5900,160.6900,25377657
2026-04-06,AAPL,256.5100,262.1600,256.4600,258.8600,29329911
2026-04-06,MSFT,373.4900,373.7300,369.5014,372.8800,16146572
2026-04-06,NVDA,177.1550,177.7900,175.7600,177.6400,107564279
2026-04-06,XOM,160.5700,163.7500,159.5300,163.3700,16344261
2026-04-07,AAPL,256.1550,256.2000,245.7000,253.5000,62148008
2026-04-07,MSFT,370.3400,372.4500,366.5600,372.2900,21443349
2026-04-07,NVDA,175.7250,178.2300,173.6600,178.1000,132534902
2026-04-07,XOM,164.2200,166.2400,161.7700,163.9100,25227501
2026-04-08,AAPL,258.4500,259.7499,256.5300,258.9000,41032772
2026-04-08,MSFT,384.9800,385.0000,371.4100,374.3300,33064818
2026-04-08,NVDA,184.5000,185.2600,180.3000,182.0800,147732686
2026-04-08,XOM,153.5200,156.3500,150.9800,156.2200,31311201
2026-04-09,AAPL,259.0000,261.1200,256.0700,260.4900,28121574
2026-04-09,MSFT,372.5000,373.5000,367.0500,373.0700,30435297
2026-04-09,NVDA,181.8400,184.0800,180.6200,183.9100,116428523
2026-04-09,XOM,156.8600,159.2300,154.3100,155.0400,25868377
2026-04-10,AAPL,259.9800,262.1900,259.0231,260.4800,31291473
2026-04-10,MSFT,372.9800,375.6400,370.0300,370.8700,28111128
2026-04-10,NVDA,184.3100,190.0000,184.3000,188.6300,160459524
2026-04-10,XOM,154.0400,155.1200,151.9200,152.5100,21065019
2026-04-13,AAPL,259.7300,260.1800,256.6600,259.2000,36234698
2026-04-13,MSFT,373.6050,384.5400,371.0200,384.3700,35745781
2026-04-13,NVDA,186.0300,189.6600,185.7400,189.3100,133648180
2026-04-13,XOM,154.2700,154.6200,151.2800,152.6400,18685605
2026-04-14,AAPL,259.2450,261.9300,257.1900,258.8300,48370710
2026-04-14,MSFT,387.9150,394.6900,386.5200,393.1100,37504486
2026-04-14,NVDA,190.8400,196.5100,190.7700,196.5100,161307010
2026-04-14,XOM,150.0650,150.1100,146.7201,149.2400,18528163
2026-04-15,AAPL,258.1600,266.5600,257.8100,266.4300,49913510
2026-04-15,MSFT,398.0000,414.3699,396.7300,411.2200,45063389
2026-04-15,NVDA,196.5400,200.4000,195.7400,198.8700,185338388
2026-04-15,XOM,148.6000,150.2315,146.9000,149.0100,15626519
2026-04-16,AAPL,266.8000,267.1600,261.2700,263.4000,43323112
2026-04-16,MSFT,419.8600,420.8200,412.1400,420.2600,41642361
2026-04-16,NVDA,197.4300,199.8500,195.8100,198.3500,134012859
2026-04-16,XOM,149.5300,152.7800,149.3450,151.9800,15191033
2026-04-17,AAPL,266.9600,272.3000,266.7200,270.2300,61436228
2026-04-17,MSFT,424.8200,431.5800,420.6900,422.7900,48568190
2026-04-17,NVDA,199.9000,201.7000,199.2700,201.6800,160324416
2026-04-17,XOM,144.8600,146.8000,141.9700,146.4400,28947445
2026-04-20,AAPL,270.3300,274.2750,270.2900,273.0500,36590169
2026-04-20,MSFT,421.1450,423.3300,416.3000,418.0700,27582237
2026-04-20,NVDA,199.9800,202.1700,197.8397,202.0600,119381388
2026-04-20,XOM,147.3800,149.3700,146.3500,147.6800,16354430
2026-04-21,AAPL,271.5000,272.8000,265.4000,266.1700,50209755
2026-04-21,MSFT,420.2400,427.1800,417.2000,424.1600,32048495
2026-04-21,NVDA,202.1300,202.7500,199.0000,199.8800,107945302
2026-04-21,XOM,147.3700,148.8099,146.2400,148.3600,17515930
2026-04-22,AAPL,267.8200,273.7400,266.8700,273.1700,43249204
2026-04-22,MSFT,426.1850,433.7000,423.6700,432.9200,29378173
2026-04-22,NVDA,200.9900,202.5000,199.0000,202.5000,107501042
2026-04-22,XOM,149.3650,150.6800,148.1800,149.5000,13738700
2026-04-23,AAPL,275.0450,275.7700,271.6500,273.4300,33399639
2026-04-23,MSFT,419.8850,423.6600,411.4101,415.7500,38307959
2026-04-23,NVDA,202.4600,203.8290,197.2206,199.6400,113561830
2026-04-23,XOM,149.8500,151.2300,148.4950,150.5300,12970401
2026-04-24,AAPL,272.7550,273.0600,269.6500,271.0600,38157110
2026-04-24,MSFT,416.9700,424.9500,415.8000,424.6200,27457404
2026-04-24,NVDA,199.9600,210.9500,199.8100,208.2700,214134441
2026-04-24,XOM,149.6400,150.3000,146.9505,148.9100,13735857
2026-04-27,AAPL,266.0900,268.3600,265.0700,267.6100,41466762
2026-04-27,MSFT,422.3750,427.1100,417.0701,424.8200,30867303
2026-04-27,NVDA,209.6450,216.8250,207.3800,216.6100,187172421
2026-04-27,XOM,149.1550,151.1800,147.9701,148.1900,13940841
2026-04-28,AAPL,272.3350,273.2300,268.6600,270.7100,40018940
2026-04-28,MSFT,424.5700,429.9200,421.9000,429.2500,30438087
2026-04-28,NVDA,209.4900,214.7300,208.2000,213.1700,180275363
2026-04-28,XOM,151.5300,152.3100,149.8300,150.5600,15173622
2026-04-29,AAPL,267.5500,271.0400,267.0400,270.1700,30047869
2026-04-29,MSFT,424.5750,426.8200,420.2900,424.4600,38288316
